example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/blanks/association_proxy_spec.rb[1:1:1]        | passed | 0.00013 seconds |
./spec/blanks/association_proxy_spec.rb[1:1:2]        | passed | 0.0001 seconds  |
./spec/blanks/association_proxy_spec.rb[1:1:3]        | passed | 0.00153 seconds |
./spec/blanks/association_proxy_spec.rb[1:2:1]        | passed | 0.00227 seconds |
./spec/blanks/association_proxy_spec.rb[1:3:1]        | passed | 0.00009 seconds |
./spec/blanks/association_proxy_spec.rb[1:3:2]        | passed | 0.00008 seconds |
./spec/blanks/association_proxy_spec.rb[1:4:1]        | passed | 0.00067 seconds |
./spec/blanks/association_proxy_spec.rb[1:5:1]        | passed | 0.00014 seconds |
./spec/blanks/association_proxy_spec.rb[1:6:1]        | passed | 0.0879 seconds  |
./spec/blanks/association_proxy_spec.rb[1:7:1]        | passed | 0.00017 seconds |
./spec/blanks/association_proxy_spec.rb[1:8:1]        | passed | 0.00021 seconds |
./spec/blanks/association_proxy_spec.rb[1:9:1]        | passed | 0.00007 seconds |
./spec/blanks/association_proxy_spec.rb[1:9:2]        | passed | 0.00008 seconds |
./spec/blanks/association_proxy_spec.rb[1:10:1]       | passed | 0.00012 seconds |
./spec/blanks/association_proxy_spec.rb[1:10:2]       | passed | 0.00046 seconds |
./spec/blanks/association_proxy_spec.rb[1:11:1]       | passed | 0.0007 seconds  |
./spec/blanks/association_proxy_spec.rb[1:12:1]       | passed | 0.00042 seconds |
./spec/blanks/association_proxy_spec.rb[1:13:1]       | passed | 0.0001 seconds  |
./spec/blanks/association_proxy_spec.rb[1:14:1]       | passed | 0.0015 seconds  |
./spec/blanks/association_proxy_spec.rb[1:14:2]       | passed | 0.00021 seconds |
./spec/blanks/associations_spec.rb[1:1:1]             | passed | 0.00005 seconds |
./spec/blanks/associations_spec.rb[1:1:2]             | passed | 0.00005 seconds |
./spec/blanks/associations_spec.rb[1:1:3]             | passed | 0.00101 seconds |
./spec/blanks/associations_spec.rb[1:1:4]             | passed | 0.00032 seconds |
